first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Giovani,Lo Celso,0,0,6,184,1,85.6,28.6,77.0,0,19,19.1,1,0,1,0.4,69
Oliver,Skipp,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Tanguy,Ndombele,1,0,19,416,4,92.8,81.0,75.0,0,76,24.9,3,0,2,0.3,59
Juan,Foyth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
Matt,Doherty,0,1,24,525,5,81.1,113.0,49.0,3,97,24.4,2,0,1,7.7,58
Joe,Hart,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,44
Cameron,Carter-Vickers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39
Sergio,Reguilón,0,2,16,360,5,96.4,99.2,59.0,0,85,25.5,1,0,1,4.2,56
Gareth,Bale,1,0,13,115,3,38.5,41.4,58.0,3,33,13.8,1,0,0,1.0,95
Carlos Vinicius,Alves Morais,0,0,1,12,0,10.3,2.0,21.0,0,2,3.3,0,0,0,0.0,70
Joe,Rodon,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,50
David,Button,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.7,40
Callum,Robinson,2,1,25,417,8,74.1,86.0,120.0,3,83,27.6,1,0,0,0.6,55
Kieran,Gibbs,0,0,-3,135,8,13.2,7.4,2.0,0,11,2.3,0,1,0,0.2,43
Hal,Robson-Kanu,0,0,3,84,5,10.7,7.2,16.0,0,6,3.4,0,0,0,0.1,52
Jake,Livermore,0,0,12,656,17,42.6,65.0,25.0,0,52,13.2,1,0,2,0.1,48
Kamil,Grosicki,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,53
